trainno, train_line
1054, Cynwyd (Inbound)
1055, Cynwyd (Outbound)
1056, Cynwyd (Inbound)
1057, Cynwyd (Outbound)
1058, Cynwyd (Inbound)
1059, Cynwyd (Outbound)
1060, Cynwyd (Inbound)
1061, Cynwyd (Outbound)
1062, Cynwyd (Inbound)
1071, Cynwyd (Outbound)
1072, Cynwyd (Inbound)
1081, Cynwyd (Outbound)
1082, Cynwyd (Inbound)
1083, Cynwyd (Outbound)
1084, Cynwyd (Inbound)
1085, Cynwyd (Outbound)
1086, Cynwyd (Inbound)
1087, Cynwyd (Outbound)
1088, Cynwyd (Inbound)
1089, Cynwyd (Outbound)
1091, Cynwyd (Outbound)
1203, Wilmington/Newark (Outbound)
1256, Wilmington/Newark (Inbound)
1293, Wilmington/Newark (Outbound)
1295, Wilmington/Newark (Outbound)
1390, Media/Elwyn (Inbound)
1456, Airport (Inbound)
1461, Airport (Outbound)
1500, Paoli/Thorndale (Inbound)
1502, Paoli/Thorndale (Inbound)
1565, Paoli/Thorndale (Outbound)
1595, Paoli/Thorndale (Outbound)
1701, Trenton (Outbound)
1703, Trenton (Outbound)
1766, Trenton (Inbound)
1781, Trenton (Outbound)
1803, Chestnut Hill West (Outbound)
207, Manayunk/Norristown (Inbound)
207, Wilmington/Newark (Outbound)
216, Manayunk/Norristown (Outbound)
216, Wilmington/Newark (Inbound)
220, Manayunk/Norristown (Outbound)
220, Wilmington/Newark (Inbound)
222, Manayunk/Norristown (Outbound)
222, Wilmington/Newark (Inbound)
227, Manayunk/Norristown (Inbound)
227, Wilmington/Newark (Outbound)
2301, Manayunk/Norristown (Inbound)
231, Manayunk/Norristown (Inbound)
231, Wilmington/Newark (Outbound)
234, Manayunk/Norristown (Outbound)
234, Wilmington/Newark (Inbound)
235, Manayunk/Norristown (Inbound)
235, Wilmington/Newark (Outbound)
2367, Manayunk/Norristown (Inbound)
2367, Media/Elwyn (Outbound)
237, Manayunk/Norristown (Inbound)
237, Wilmington/Newark (Outbound)
2371, Manayunk/Norristown (Inbound)
2371, Media/Elwyn (Outbound)
2372, Glenside (Outbound)
2372, West Trenton (Outbound)
2372, Wilmington/Newark (Inbound)
238, Manayunk/Norristown (Outbound)
238, Wilmington/Newark (Inbound)
2450, Glenside (Outbound)
2450, Warminster (Outbound)
2457, Airport (Outbound)
2457, Manayunk/Norristown (Inbound)
2509, Manayunk/Norristown (Inbound)
252, Manayunk/Norristown (Outbound)
252, Wilmington/Newark (Inbound)
2555, Manayunk/Norristown (Inbound)
2555, Paoli/Thorndale (Outbound)
264, Manayunk/Norristown (Outbound)
264, Wilmington/Newark (Inbound)
2718, Chestnut Hill East (Outbound)
2718, Wilmington/Newark (Inbound)
272, Manayunk/Norristown (Outbound)
272, Wilmington/Newark (Inbound)
2720, Wilmington/Newark (Inbound)
273, Manayunk/Norristown (Inbound)
273, Wilmington/Newark (Outbound)
274, Manayunk/Norristown (Outbound)
274, Wilmington/Newark (Inbound)
275, Manayunk/Norristown (Inbound)
275, Wilmington/Newark (Outbound)
2751, Manayunk/Norristown (Inbound)
2751, Trenton (Outbound)
276, Manayunk/Norristown (Outbound)
276, Wilmington/Newark (Inbound)
2760, Chestnut Hill East (Outbound)
2760, Wilmington/Newark (Inbound)
277, Manayunk/Norristown (Inbound)
277, Wilmington/Newark (Outbound)
279, Manayunk/Norristown (Inbound)
279, Wilmington/Newark (Outbound)
309, Glenside (Inbound)
309, Media/Elwyn (Outbound)
309, West Trenton (Inbound)
313, Glenside (Inbound)
313, West Trenton (Inbound)
319, Glenside (Inbound)
319, Media/Elwyn (Outbound)
319, West Trenton (Inbound)
3223, Glenside (Inbound)
3223, West Trenton (Inbound)
